TC_ID,Url,UserName,Password,Email,Product,Summary,AccountId,Assets,SRType,AccountName,PDQ,Region,Status,Owner,SubProduct,Module,Severity,Version,RootCause,ChangeRequestNo,To,Body,SRNumber,SubStatus,AttachmentName,FileName,IsPublic,IsRD,Description,SupportPortalPwd,Srnotificationlist,SR_Notifications,Owner_ID,Sitenew,SiteUpdate,Date,Publish_Internal,Publish_External,Days,UserName1,Password1,AttachmentFlag,SupportFilename,SR_Status,SR_Substatus,SR_Type
TC01,http://siebeluat/dbsupport_enu/start.swe?SWECmd=AutoOn,SUPPORT_ADMIN,SUPPORT_ADMIN,art.cognizant1@gmail.com,SharePlex,Test SR creation ,1-IJFFJX,1-L4M26U,Support,TEST ACCOUNT FOR SERVICE AUTOMATION - EMEA 1,,ALL,,,,,Level 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
TC02,http://siebeluat/dbsupport_enu/start.swe?SWECmd=AutoOn,SUPPORT_ADMIN,SUPPORT_ADMIN,ricky.gervais@guerrillamail.com.dev,Foglight,Test SR creation ,1-IJFFJX,1-G9MHUM,Support,TEST ACCOUNT FOR SERVICE AUTOMATION - EMEA 1,,ALL,,,,,Level 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
TC03,http://siebeluat/dbsupport_enu/start.swe?SWECmd=AutoOn,SUPPORT_ADMIN,SUPPORT_ADMIN,art.cognizant2@gmail.com,Toad for DB2,Test SR creation ,1-IJBYB8,,Support,TEST ACCOUNT FOR SERVICE AUTOMATION - APAC 1,,,Hard Fail Contract,,,,Level 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
TC04,http://siebeluat/dbsupport_enu/start.swe?SWECmd=AutoOn,SUPPORT_ADMIN,SUPPORT_ADMIN,art.cognizant4@gmail.com.dev,NetVault Backup,Test SR creation ,1-IKEC71,,Support,TEST ACCOUNT FOR SERVICE AUTOMATION - AMER 2,,AMER,,,,,Level 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
TC05,http://siebeluat/dbsupport_enu/start.swe?SWECmd=AutoOn,SUPPORT_ADMIN,SUPPORT_ADMIN,art.cognizant4@gmail.com.dev,Desktop Authority,Test SR creation ,1-IKEC71,,,TEST ACCOUNT FOR SERVICE AUTOMATION - AMER 2,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC06,http://siebeluat/dbsupport_enu/start.swe?SWECmd=AutoOn,SUPPORT_ADMIN,SUPPORT_ADMIN,vidya.krishnamarne@cognizant.com,BridgeWare,Test SR creation ,1-IKEBPR,1-GVY51G,,TEST ACCOUNT FOR SERVICE AUTOMATION - AMER 1,,,Hard Fail Contract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC07,http://siebeluat/dbsupport_enu/start.swe?SWECmd=AutoOn,SUPPORT_ADMIN,SUPPORT_ADMIN,butters.scotch@guerrillamail.com.dev,SharePlex,Test SR creation ,1-IKJ1IO,,,TEST ACCOUNT FOR SERVICE AUTOMATION - PARTNER 2,,,Hard Fail Contract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC08,http://siebeluat/dbsupport_enu/start.swe?SWECmd=AutoOn,SUPPORT_ADMIN,SUPPORT_ADMIN,art.cognizant132@gmail.com.dev,Toad for Oracle,Test SR creation ,1-IKEBPR,1-GVY518,,TEST ACCOUNT FOR SERVICE AUTOMATION - AMER 1,,AMER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC09,http://siebeluat/dbsupport_enu/start.swe?SWECmd=AutoOn,SUPPORT_ADMIN,SUPPORT_ADMIN,vidya.krishnamarne@cognizant.com,Toad for Oracle,Test SR creation ,1-IKEBPR,1-GVY518,,TEST ACCOUNT FOR SERVICE AUTOMATION - AMER 1,,AMER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC10,http://siebeluat/dbsupport_enu/start.swe?SWECmd=AutoOn,SUPPORT_ADMIN,SUPPORT_ADMIN,vidya.krishnamarne@cognizant.com,SharePlex,Test SR creation ,1-IKEBPR,1-3W3UWJ,,TEST ACCOUNT FOR SERVICE AUTOMATION - AMER 1,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
