TC_ID,Url,UserName,Password,Email,Product,Summary,AccountId,Assets,SRType,AccountName,PDQ,Region,Status,Owner,SubProduct,Module,Severity,Version,RootCause,ChangeRequestNo,To,Body,SRNumber,SubStatus,AttachmentName,FileName,IsPublic,IsRD,Description,SupportPortalPwd,Srnotificationlist,SR_Notifications,Owner_ID,Sitenew,SiteUpdate,Date,Publish_Internal,Publish_External,Days,UserName1,Password1,AttachmentFlag,SupportFilename,SR_Status,SR_Substatus,SR_Type
TC01,http://siebeluat/dbsupport_enu/start.swe?SWECmd=AutoOn,SUPPORT_ADMIN,SUPPORT_ADMIN,art.cognizant1@gmail.com.dev,SharePlex,Test SR creation for Toad for Oracle,1-IJFFJX,1-L4M26U,Support,TEST ACCOUNT FOR SERVICE AUTOMATION - EMEA 1,,ALL,,,,,Level 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
TC02,http://siebeluat/dbsupport_enu/start.swe?SWECmd=AutoOn,SUPPORT_ADMIN,SUPPORT_ADMIN,art.cognizant1@gmail.com.dev,SQL Navigator for Oracle,Test SR creation for Toad for Oracle,1-IJFFJX,1-L4M26B,Support,TEST ACCOUNT FOR SERVICE AUTOMATION - EMEA 1,,EMEA,,,,,Level 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
TC03,http://siebeluat/dbsupport_enu/start.swe?SWECmd=AutoOn,SUPPORT_ADMIN,SUPPORT_ADMIN,art.cognizant1@gmail.com.dev,SharePlex,Test SR creation for Toad for Oracle,1-IJFFJX,1-L4M26U,Support,TEST ACCOUNT FOR SERVICE AUTOMATION - EMEA 1,,EMEA,,,,,Level 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
TC04,http://siebeluat/dbsupport_enu/start.swe?SWECmd=AutoOn,SUPPORT_ADMIN,SUPPORT_ADMIN,art.cognizant1@gmail.com.dev,Foglight,Test SR creation for Toad for Oracle,1-IJFFJX,1-G9MHUM,Support,TEST ACCOUNT FOR SERVICE AUTOMATION - EMEA 1,,EMEA,,,,,Level 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
TC05,,SUPPORT_ADMIN,SUPPORT_ADMIN,art.cognizant2@gmail.com,Toad for DB2,,1-IJBYB8,,,TEST ACCOUNT FOR SERVICE AUTOMATION - APAC 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC06,,SUPPORT_ADMIN,SUPPORT_ADMIN,art.cognizant2@gmail.com,Identity Manager,,1-IJBYB8,1-1HCL7BO,,TEST ACCOUNT FOR SERVICE AUTOMATION - APAC 1,,APAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC07,,SUPPORT_ADMIN,SUPPORT_ADMIN,art.cognizant2@gmail.com,Identity Manager,,1-IJBYB8,1-8P2FNX,,TEST ACCOUNT FOR SERVICE AUTOMATION - APAC 1,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC08,,SUPPORT_ADMIN,SUPPORT_ADMIN,art.cognizant2@gmail.com,SQL Navigator for Oracle,,1-IJBYB8,1-L4M266,,TEST ACCOUNT FOR SERVICE AUTOMATION - APAC 1,,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC09,,SUPPORT_ADMIN,SUPPORT_ADMIN,art.cognizant3@gmail.com.dev,NetVault Backup,,,1-1A064XK,,TEST ACCOUNT FOR SERVICE AUTOMATION - JAPAN 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC10,,SUPPORT_ADMIN,SUPPORT_ADMIN,art.cognizant3@gmail.com.dev,Desktop Authority,,,1-8NQ34Y,,TEST ACCOUNT FOR SERVICE AUTOMATION - JAPAN 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
